,会社名,給与,初年度年収
93,テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,"月給266,667円〜433,334円＋諸手当＋賞与年2回＋決算賞与（業績による） ※経験・年齢を考慮の上、当社…",400万円～650万円
94,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",300万円～360万円
95,テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,"月給266,667円〜433,334円＋諸手当＋賞与年2回＋決算賞与（業績による） ※経験・年齢を考慮の上、当社…",400万円～650万円
96,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,"年俸420万円〜960万円 ※月額：350,000円〜800,000円(以下固定残業手当を含む) ※基本給：258,959円〜59…",420万円～960万円
97,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,"年俸400万円〜550万円 ※固定残業手当：85,839円〜117,053円（固定残業時間45時間0分/月）を含む ※超過…",400万円～550万円
98,株式会社東栄 | ★地域密着の総合建設会社／退職金制度あり／賞与年2回,月給25万円〜50万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月(待遇に変更はありま…,300万円～600万円
99,株式会社東栄 | 公園や学校などを手がける総合建設会社/ほぼ定時退社が叶います,月給25万円〜40万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月(待遇に変更はありま…,300万円～480万円
100,株式会社天公システム | 中国のビジネス展開に精通した人材を擁するコンサルティング企業,年俸300万円〜500万円 ※経験年数、能力により面接したうえで相談していきます。 ※試用期間6ヵ月（同条…,不明
101,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,"年俸450万円〜1100万円 ※固定残業手当： 96,243円〜236,706円 （固定残業時間45時間0分/月）を含む ※…",450万円～1100万円
102,auじぶん銀行株式会社 | KDDIと三菱UFJ銀行が共同設立したネット銀行★完全週休2日制,月給23万円〜50万円 ＋ 諸手当 ※経験・能力を考慮の上、当社規定により決定 ※試用期間3ヶ月あり（ 期…,不明
103,auじぶん銀行株式会社 | KDDIと三菱UFJ銀行が共同設立したネット銀行★完全週休2日制,月給23万円〜50万円 ＋ 諸手当 ※経験・能力を考慮の上、当社規定により決定 ※試用期間3ヶ月あり（ 期…,不明
104,株式会社エルプラン | 《2016年創業ですが、大手との取引で安定感＆大手並みの待遇！》,"月給：320,000円〜400,000円 ＋各種手当（通勤手当など） ※試用期間3ヶ月あり（条件の変更なし） ※能…",不明
105,株式会社エルプラン | 《大手との取引で安定感＆大手並みの待遇！》☆30～40代活躍中！,"月給：190,000円〜350,000円　＋各種手当（時間外・家族・資格・通勤手当など） ※試用期間3ヶ月あり（…",300万円～500万円
106,株式会社エルプラン | 《2016年創業ですが、大手との取引で安定感＆大手並みの待遇！》,"月給：190,000円〜350,000円　＋各種手当（時間外・家族・資格・通勤手当など） ※試用期間3ヶ月あり（…",300万円～500万円
