,会社名,給与,初年度年収
95,株式会社REJECT | eスポーツ業界を牽引◆フルフレックス制◆年休125日以上,月給25万円〜50万円 ※経験・スキルなどを考慮のうえ、決定いたします。 ※固定残業代（25時間分／5万円…,300万円～650万円
96,株式会社アイエスエフネット | 《 育成枠採用をSTART！ 》★残業平均月7.4h ★年間休日125日,◆月給24.5万円〜＋インセンティブ賞与・諸手当 ※経験・スキルを考慮し決定します。 ※上記月給にはみな…,294万円～600万円
97,新日本コンピュータサービス株式会社 | 業績も堅調に推移！／年間休日117日／残業月20h程度,月給21万円〜30万円＋歩合給 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間(3ヶ月)あ…,300万円～450万円
98,株式会社東北電子計算センター | 東証一部上場グループの仕事を担当/残業月20h程度/資格祝い金有,月給24万円〜+住宅手当(*)＋賞与(年2回/年4.0ヶ月)+その他手当 ※経験・スキル・年齢等を考慮し決定。 …,不明
99,株式会社REJECT | eスポーツ業界が活躍の舞台！◆年休125日以上◆フルフレックス制,月給28万円〜50万円 ※経験・スキルなどを考慮のうえ、決定いたします。 ※固定残業代（25時間分／5万円…,360万円～600万円
100,溝江建設株式会社 | 【 みぞえグループ 】■月給30万円以上 ■資格取得支援あり,月給30万円〜50万円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あ…,不明
101,株式会社グラスト | ★会社作りに一から携われる★20代中心に活躍中★定着率ほぼ100%,未経験者：月給22万円〜25万円 法人営業経験者：月給25万円〜35万円,300万円～450万円
102,株式会社システムオリジン | 業界シェアトップクラス／年間休日120日以上・完全週休2日制,月給20万円〜25万円（一律手当含む）＋その他の諸手当 ※試用期間3カ月あり。待遇は変わりません。 ※経…,300万円～420万円
103,東興産業株式会社 | 【 特許取得製品が多数！メーカー兼商社 】★賞与継続支給中,"【 月給266,000円〜 】 ※上記金額は、最低保障金額となります。 ※前職の給与や、経験・年齢などを考慮…",350万円～450万円
104,株式会社リベロ | ◎年間休日120日～ ◎社宅制度有 ◎転勤なし ◎スピード入社可能,"■月給28万6,000円〜42万8,000円（一律手当含む） ※経験・能力を考慮して決定します ※試用期間3ヵ月あ…",400万円～600万円
105,株式会社パワーエッジ | 【コロナ禍でも安定】★完全週休2日★残業月10h以下★在宅勤務OK,"月給:26万円〜60万円＋賞与年2回＋決算賞与 ※経験・能力を考慮の上、決定します。 ※固定残業代（7万3,…",300万円～750万円
106,株式会社ルーク | 【高い定着率】転勤なし／残業少なめ／完全週休2日制（土日）,"月給：21万円以上 + 残業代全額支給 + 賞与年2回 ［月収例］月収258,000円（入社1年目／配偶者あり） ※…",不明
107,株式会社浦松建設 | 【大分の暮らしを支える総合建設会社】★女性も多数活躍中★,"月給: 149,880円〜 262,180円 ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、優遇しま…",不明
108,日伸ソフトウェア株式会社 | <NTTなど大手と多数取引>★土日祝休/残業月16h以内/産休育休あり,月給：21万円〜57万円 ※あなたの経験やスキル、希望は最大限考慮いたします。 ※試用期間は3ヶ月。その…,350万円～800万円
109,サン・ライズ・システムズ株式会社 | ◆受託開発・自社内開発あり◆年間休日120日◆在宅勤務OK,"年俸制480万円〜800万円 ⇒月額40万円〜66万7,000円 ※前職給や経験、スキルを考慮し、決定・優遇いたし…",480万円～800万円
110,株式会社日設 | 【東証1部・ミライトグループ】★年間休日125日★完全週休2日制,"【月給21万円〜41万6,667円】+各諸手当＋賞与年2回(4.8ヵ月／実績) ※前職給与・経験・スキルを考慮の上…",不明
111,シンサクメタル株式会社 | 残業も多くありません！業務を終えスパッと帰れるメリハリ抜群◎,"月給：215,000円 〜 255,000円 ＋ 諸手当 ※上記には一律車両管理手当が含まれます。 ※上記には固定残…",350万円～550万円
112,株式会社フレスタ | ITシステム開発サービスで急成長！◎完全週休二日◎引越支援あり,"月給23〜28万円 ※経験・スキル・前職・年齢を考慮の上、決定します。 ※固定残業代（21時間分20,747円…",300万円～600万円
113,ヒカリラインサービス株式会社 | 土日祝休み/年間休日130日/有給消化100％/頑張りも給与へ還元◎,【月給】23万円〜(一律営業手当含む)＋各種手当＋インセンティブ ※上記には固定残業代2万100円〜／12時…,350万円～600万円
